
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.0.20:56967     2.17.222.63:443        ESTABLISHED     4456
  TCP    192.168.0.20:57006     142.251.128.165:443    ESTABLISHED     4456
  TCP    192.168.0.20:57007     142.250.0.84:443       ESTABLISHED     4456
  TCP    192.168.0.20:57008     54.84.19.168:443       CLOSE_WAIT      1844
  TCP    192.168.0.20:57009     34.235.7.254:443       CLOSE_WAIT      1844
  TCP    192.168.0.20:57011     54.81.224.198:443      CLOSE_WAIT      1844
  TCP    192.168.0.20:57020     34.89.0.178:443        ESTABLISHED     4456
  TCP    192.168.0.20:57035     142.250.219.46:443     ESTABLISHED     4456
  TCP    192.168.0.20:57036     142.250.219.42:443     ESTABLISHED     4456
  TCP    192.168.0.20:57040     142.251.132.46:443     ESTABLISHED     4456
  TCP    192.168.0.20:57041     142.250.219.46:443     ESTABLISHED     4456
  TCP    192.168.0.20:57042     20.189.173.10:443      TIME_WAIT       0
  TCP    192.168.0.20:57044     2.18.248.242:80        TIME_WAIT       0
  TCP    192.168.0.20:57045     2.18.248.242:80        TIME_WAIT       0
  TCP    192.168.0.20:57081     20.49.104.0:443        ESTABLISHED     4456
  TCP    192.168.0.20:57095     20.44.229.112:443      ESTABLISHED     10336
  TCP    192.168.0.20:57096     142.250.219.46:443     ESTABLISHED     4456
  TCP    192.168.0.20:57097     142.251.132.10:443     ESTABLISHED     4456
  TCP    192.168.0.20:57099     142.250.0.84:443       ESTABLISHED     4456
  TCP    192.168.0.20:57100     34.89.0.178:443        ESTABLISHED     4456
  TCP    192.168.0.20:57101     181.30.145.35:443      ESTABLISHED     4560
  TCP    192.168.0.20:57102     52.113.194.132:443     ESTABLISHED     5664
  TCP    192.168.0.20:57104     2.18.248.242:80        TIME_WAIT       0
  TCP    192.168.0.20:57105     2.18.248.242:80        TIME_WAIT       0
  TCP    192.168.0.20:57142     209.85.235.94:443      ESTABLISHED     4456
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1400
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1688              [::]:0                 LISTENING       5516
  TCP    [::]:2869              [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       3936
  TCP    [::]:9832              [::]:0                 LISTENING       4
